Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       46     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&)
  0.00      0.00     0.00       46     0.00     0.00  void std::vector<int, std::allocator<int> >::emplace_back<int>(int&&)
  0.00      0.00     0.00       46     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int&&)
  0.00      0.00     0.00       46     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.00     0.00       46     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.00     0.00       45     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const
  0.00      0.00     0.00       45     0.00     0.00  std::vector<pRPL::WeightedCellCoord, std::allocator<pRPL::WeightedCellCoord> >::operator[](unsigned long)
  0.00      0.00     0.00       44     0.00     0.00  pRPL::Cellspace::info()
  0.00      0.00     0.00       44     0.00     0.00  spdlog::sinks::ansicolor_sink<spdlog::details::console_mutex>::print_ccode_(fmt::v8::basic_string_view<char> const&)
  0.00      0.00     0.00       44     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<spdlog::sinks::sink>*, std::vector<std::shared_ptr<spdlog::sinks::sink>, std::allocator<std::shared_ptr<spdlog::sinks::sink> > > >::__normal_iterator(std::shared_ptr<spdlog::sinks::sink>* const&)
  0.00      0.00     0.00       44     0.00     0.00  bool __gnu_cxx::operator!=<std::shared_ptr<spdlog::sinks::sink>*, std::vector<std::shared_ptr<spdlog::sinks::sink>, std::allocator<std::shared_ptr<spdlog::sinks::sink> > > >(__gnu_cxx::__normal_iterator<std::shared_ptr<spdlog::sinks::sink>*, std::vector<std::shared_ptr<spdlog::sinks::sink>, std::allocator<std::shared_ptr<spdlog::sinks::sink> > > > const&, __gnu_cxx::__normal_iterator<std::shared_ptr<spdlog::sinks::sink>*, std::vector<std::shared_ptr<spdlog::sinks::sink>, std::allocator<std::shared_ptr<spdlog::sinks::sink> > > > const&)
  0.00      0.00     0.00       44     0.00     0.00  bool __gnu_cxx::operator!=<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> >*, std::vector<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> >, std::allocator<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> > > > >(__gnu_cxx::__normal_iterator<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> >*, std::vector<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> >, std::allocator<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> > > > > const&, __gnu_cxx::__normal_iterator<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> >*, std::vector<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> >, std::allocator<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> > > > > const&)
  0.00      0.00     0.00       44     0.00     0.00  pRPL::CellspaceInfo::dataSize() const
  0.00      0.00     0.00       44     0.00     0.00  std::__shared_ptr<spdlog::sinks::sink, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      0.00     0.00       44     0.00     0.00  std::__shared_ptr_access<spdlog::sinks::sink, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  0.00      0.00     0.00       44     0.00     0.00  std::__shared_ptr_access<spdlog::sinks::sink, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  0.00      0.00     0.00       44     0.00     0.00  bool std::chrono::operator==<long, std::ratio<1l, 1l>, long, std::ratio<1l, 1l> >(std::chrono::duration<long, std::ratio<1l, 1l> > const&, std::chrono::duration<long, std::ratio<1l, 1l> > const&)
  0.00      0.00     0.00       44     0.00     0.00  bool std::chrono::operator!=<long, std::ratio<1l, 1l>, long, std::ratio<1l, 1l> >(std::chrono::duration<long, std::ratio<1l, 1l> > const&, std::chrono::duration<long, std::ratio<1l, 1l> > const&)
  0.00      0.00     0.00       44     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::type&)
  0.00      0.00     0.00       43     0.00     0.00  fmt::v8::basic_string_view<char>::basic_string_view(char const*, unsigned long)
  0.00      0.00     0.00       43     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*> >::_M_ptr()
  0.00      0.00     0.00       43     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*> >::_M_addr()
  0.00      0.00     0.00       43     0.00     0.00  std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*> >::_M_valptr()
  0.00      0.00     0.00       42     0.00     0.00  pRPL::WeightedCellCoord::WeightedCellCoord(pRPL::WeightedCellCoord const&)
  0.00      0.00     0.00       42     0.00     0.00  pRPL::CellCoord::valid() const
  0.00      0.00     0.00       42     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*> >::operator==(std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*> > const&) const
  0.00      0.00     0.00       42     0.00     0.00  void std::_Destroy<pRPL::WeightedCellCoord>(pRPL::WeightedCellCoord*)
  0.00      0.00     0.00       41     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*> > >::_M_end()
  0.00      0.00     0.00       40     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      0.00     0.00       39     0.00     0.00  pRPL::CellCoord* std::__addressof<pRPL::CellCoord>(pRPL::CellCoord&)
